BehaviorSpace results (NetLogo 6.2.0),,,,,,,,,,,,
crested_newt.nlogo,,,,,,,,,,,,
experiment,,,,,,,,,,,,
09/23/2021 21:47:03:176 +0200,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,
0,399,0,399,,,,,,,,,
[run number],capacity,mean-juvenile-mortality-prob,mortality-decrease-with-buffer,number-of-startind,movement-energy,cropland-movement-cost,woodland-movement-cost,mean-number-of-female-offspring,scenario,mean-adult-mortality-prob,[step],count turtles
1,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,34,29
4,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,25,54
3,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,28,55
7,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,33,41
6,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,26,43
5,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,23,48
1,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,35,29
8,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,34,52
1,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,36,36
7,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,34,50
2,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,28,57
5,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,24,47
6,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,27,42
4,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,26,58
3,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,29,53
6,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,28,54
1,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,37,33
7,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,35,54
5,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,25,57
8,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,35,40
6,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,29,49
4,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,27,64
1,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,38,42
2,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,29,45
3,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,30,64
8,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,36,44
7,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,36,56
6,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,30,45
5,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,26,62
2,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,30,54
1,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,39,43
3,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,31,75
8,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,37,43
4,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,28,75
6,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,31,53
7,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,37,44
8,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,38,39
1,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,40,42
5,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,27,52
7,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,38,52
6,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,32,59
8,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,39,45
2,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,31,54
3,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,32,84
4,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,29,72
8,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,40,51
6,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,33,47
1,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,41,35
7,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,39,56
5,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,28,46
2,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,32,46
6,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,34,56
5,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,29,58
8,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,41,42
1,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,42,31
6,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,35,74
8,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,42,55
