"BehaviorSpace results (NetLogo 6.2.0)"
"crested_newt.nlogo"
"experiment"
"09/23/2021 21:30:09:800 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","399","0","399"
"[run number]","capacity","mean-juvenile-mortality-prob","mortality-decrease-with-buffer","number-of-startind","movement-energy","cropland-movement-cost","woodland-movement-cost","mean-number-of-female-offspring","scenario","mean-adult-mortality-prob","[step]","total-newts","occupied-ponds","pond0","pond1","pond2","pond3","pond4","pond5","pond6"
"96","90","0.45","0.1","50","500","5","1","2.5","buffers","0.18","100","277","7","32","30","40","53","45","35","42"
"99","90","0.45","0.1","50","500","5","1","2.5","buffers","0.18","100","280","7","40","46","36","43","48","41","26"
"102","90","0.45","0.1","50","500","5","1","2.5","corridors","0.18","100","199","7","31","32","24","28","31","40","13"
"100","90","0.45","0.1","50","500","5","1","2.5","buffers","0.18","100","271","7","51","22","37","40","47","45","29"
"106","90","0.45","0.1","50","500","5","1","2.5","corridors","0.18","100","251","7","22","46","37","30","35","42","39"
"105","90","0.45","0.1","50","500","5","1","2.5","corridors","0.18","100","266","7","22","42","34","38","29","47","54"
"110","90","0.45","0.1","50","500","5","1","2.5","corridors","0.18","100","236","7","26","48","24","39","38","33","28"
"107","90","0.45","0.1","50","500","5","1","2.5","corridors","0.18","100","217","7","22","28","30","39","40","43","15"
"109","90","0.45","0.1","50","500","5","1","2.5","corridors","0.18","100","250","6","0","46","46","30","44","40","44"
"108","90","0.45","0.1","50","500","5","1","2.5","corridors","0.18","100","222","7","23","43","26","29","28","46","27"
"114","90","0.45","0.1","50","500","5","1","2.5","corridors","0.18","100","210","7","27","19","35","31","23","21","54"
"113","90","0.45","0.1","50","500","5","1","2.5","corridors","0.18","100","260","7","27","36","35","38","36","40","48"
"115","90","0.45","0.1","50","500","5","1","2.5","corridors","0.18","100","208","7","26","46","41","25","29","34","7"
"111","90","0.45","0.1","50","500","5","1","2.5","corridors","0.18","100","244","7","41","26","35","35","31","31","45"
"112","90","0.45","0.1","50","500","5","1","2.5","corridors","0.18","100","270","7","36","49","43","37","45","29","31"
"118","90","0.45","0.1","50","500","5","1","2.5","corridors","0.18","100","234","7","50","34","31","22","24","34","39"
"117","90","0.45","0.1","50","500","5","1","2.5","corridors","0.18","100","210","7","35","42","18","22","31","44","18"
"116","90","0.45","0.1","50","500","5","1","2.5","corridors","0.18","100","219","7","32","36","30","35","35","25","26"
"119","90","0.45","0.1","50","500","5","1","2.5","corridors","0.18","100","246","7","24","50","33","25","38","50","26"
"120","90","0.45","0.1","50","500","5","1","2.5","corridors","0.18","100","224","7","29","35","29","32","25","38","36"
