"BehaviorSpace results (NetLogo 6.2.0)"
"crested_newt.nlogo"
"experiment"
"10/25/2021 17:59:42:969 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","399","0","399"
"[run number]","capacity","mean-juvenile-mortality-prob","number-of-startind","movement-in-forest","max-timesteps","current-scenario","cropland-movement-cost","angle-for-viewing-ponds-and-woodland","woodland-movement-cost","mortality-decrease-with-buffer","distance-for-viewing-ponds-and-woodland","movement-energy","one-pond-without-starting-newts","both-scenarios","mean-number-of-female-offspring","mean-adult-mortality-prob","[step]","newts-buffer","newts-corridor","newts-corridor-pond1","newts-buffer-pond1","occupied-ponds-corridor","occupied-ponds-buffer"
"116","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.075","2","700","false","true","5","0.2","99","43","28","7","0","5","5"
"112","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.075","2","700","false","true","5","0.2","99","82","58","12","11","7","7"
"114","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.075","2","700","false","true","5","0.2","99","48","73","12","9","7","6"
"113","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.075","2","700","false","true","5","0.2","99","49","60","4","10","7","7"
"117","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.075","2","700","false","true","5","0.2","99","39","41","0","0","5","4"
"118","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.075","2","700","false","true","5","0.2","99","43","52","14","8","7","5"
"115","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.075","2","700","false","true","5","0.2","99","61","56","10","7","7","7"
"119","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.075","2","700","false","true","5","0.2","99","57","58","11","6","7","6"
"120","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.075","2","700","false","true","5","0.2","99","58","63","11","8","7","7"
"121","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.075","3","700","false","true","5","0.2","99","57","57","10","12","7","6"
"122","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.075","3","700","false","true","5","0.2","99","62","29","0","13","4","7"
"123","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.075","3","700","false","true","5","0.2","99","45","40","0","11","5","5"
"125","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.075","3","700","false","true","5","0.2","99","40","54","3","10","6","6"
"124","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.075","3","700","false","true","5","0.2","99","56","54","13","3","6","7"
"128","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.075","3","700","false","true","5","0.2","99","62","73","9","4","7","6"
"126","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.075","3","700","false","true","5","0.2","99","73","51","3","7","6","7"
"129","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.075","3","700","false","true","5","0.2","99","58","68","1","9","7","7"
"127","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.075","3","700","false","true","5","0.2","99","48","54","3","7","7","7"
