"BehaviorSpace results (NetLogo 6.2.0)"
"crested_newt.nlogo"
"scenarios"
"09/23/2021 22:58:44:593 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","399","0","399"
"[run number]","capacity","mean-juvenile-mortality-prob","mortality-decrease-with-buffer","number-of-startind","movement-energy","cropland-movement-cost","woodland-movement-cost","mean-number-of-female-offspring","scenario","mean-adult-mortality-prob","[step]","total-newts","occupied-ponds","pond0","pond1","pond2","pond3","pond4","pond5","pond6"
"118","30","0.45","0","50","600","5","1","2.5","corridors","0.18","100","26","3","0","4","0","0","13","9","0"
"125","30","0.45","0","50","650","5","1","2.5","buffers","0.18","100","28","3","0","12","0","0","0","12","4"
"123","30","0.45","0","50","650","5","1","2.5","buffers","0.18","100","28","4","0","5","10","0","2","11","0"
"122","30","0.45","0","50","650","5","1","2.5","buffers","0.18","100","31","4","0","0","0","6","3","11","11"
"119","30","0.45","0","50","600","5","1","2.5","corridors","0.18","100","39","5","0","17","2","0","9","6","5"
"121","30","0.45","0","50","650","5","1","2.5","buffers","0.18","100","23","3","0","7","0","0","0","7","9"
"126","30","0.45","0","50","650","5","1","2.5","corridors","0.18","100","34","4","0","19","3","0","4","8","0"
"120","30","0.45","0","50","600","5","1","2.5","corridors","0.18","100","25","4","7","6","11","0","1","0","0"
"124","30","0.45","0","50","650","5","1","2.5","buffers","0.18","100","35","5","11","8","3","6","0","0","7"
"132","30","0.45","0","50","700","5","1","2.5","buffers","0.18","100","23","4","1","3","0","0","11","0","8"
"128","30","0.45","0","50","650","5","1","2.5","corridors","0.18","100","58","6","0","10","3","1","8","18","18"
"127","30","0.45","0","50","650","5","1","2.5","corridors","0.18","100","31","4","0","6","0","3","3","19","0"
"130","30","0.45","0","50","650","5","1","2.5","corridors","0.18","100","29","4","8","5","0","1","0","15","0"
"134","30","0.45","0","50","700","5","1","2.5","buffers","0.18","100","31","5","9","5","0","0","1","2","14"
"129","30","0.45","0","50","650","5","1","2.5","corridors","0.18","100","55","5","9","11","14","0","4","17","0"
"133","30","0.45","0","50","700","5","1","2.5","buffers","0.18","100","46","4","8","0","14","18","0","0","6"
"131","30","0.45","0","50","700","5","1","2.5","buffers","0.18","100","38","7","6","11","5","3","3","7","3"
"135","30","0.45","0","50","700","5","1","2.5","buffers","0.18","100","44","5","9","11","13","0","0","6","5"
"137","30","0.45","0","50","700","5","1","2.5","corridors","0.18","100","47","5","0","16","10","0","8","6","7"
"136","30","0.45","0","50","700","5","1","2.5","corridors","0.18","100","19","4","0","7","3","0","4","5","0"
"138","30","0.45","0","50","700","5","1","2.5","corridors","0.18","100","42","7","9","4","7","4","9","7","2"
