,mortality_decrease,movement_energy,corridor_netws,corridor_year,buffer_netws,buffer_year
136,0.0566666666666666,733.3333333333333,40.0,1.0,54.0,3.0
137,0.0566666666666666,822.2222222222222,72.0,2.0,61.0,6.0
138,0.0566666666666666,911.1111111111112,50.0,2.0,63.0,2.0
139,0.0566666666666666,1000.0,26.0,5.0,54.0,7.0
140,0.0722222222222222,200.0,65.0,2.0,49.0,-999.0
141,0.0722222222222222,288.8888888888889,47.0,7.0,37.0,-999.0
142,0.0722222222222222,377.77777777777777,64.0,1.0,44.0,39.0
143,0.0722222222222222,466.6666666666666,38.0,3.0,50.0,3.0
144,0.0722222222222222,555.5555555555555,55.0,2.0,63.0,7.0
145,0.0722222222222222,644.4444444444445,64.0,2.0,63.0,6.0
146,0.0722222222222222,733.3333333333333,65.0,2.0,52.0,21.0
147,0.0722222222222222,822.2222222222222,62.0,-999.0,61.0,-999.0
148,0.0722222222222222,911.1111111111112,57.0,2.0,27.0,7.0
149,0.0722222222222222,1000.0,58.0,2.0,43.0,6.0
150,0.0877777777777777,200.0,42.0,3.0,40.0,-999.0
151,0.0877777777777777,288.8888888888889,54.0,1.0,53.0,-999.0
152,0.0877777777777777,377.77777777777777,60.0,2.0,47.0,-999.0
153,0.0877777777777777,466.6666666666666,36.0,-999.0,37.0,-999.0
154,0.0877777777777777,555.5555555555555,52.0,4.0,55.0,19.0
155,0.0877777777777777,644.4444444444445,64.0,7.0,65.0,-999.0
156,0.0877777777777777,733.3333333333333,67.0,2.0,64.0,4.0
157,0.0877777777777777,822.2222222222222,52.0,2.0,38.0,8.0
158,0.0877777777777777,911.1111111111112,67.0,5.0,33.0,2.0
159,0.0877777777777777,1000.0,44.0,2.0,62.0,2.0
160,0.1033333333333333,200.0,37.0,-999.0,33.0,-999.0
161,0.1033333333333333,288.8888888888889,52.0,3.0,61.0,3.0
162,0.1033333333333333,377.77777777777777,65.0,1.0,60.0,7.0
163,0.1033333333333333,466.6666666666666,62.0,2.0,49.0,21.0
164,0.1033333333333333,555.5555555555555,59.0,1.0,39.0,3.0
165,0.1033333333333333,644.4444444444445,52.0,4.0,58.0,14.0
166,0.1033333333333333,733.3333333333333,55.0,7.0,59.0,10.0
167,0.1033333333333333,822.2222222222222,42.0,2.0,45.0,4.0
168,0.1033333333333333,911.1111111111112,62.0,3.0,55.0,3.0
